trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
10,True,"{'e': 0.0, 'a': 0.0}",30,10,35.6847598534611,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'e': 0.0, 'a': 0.0}",25,11,27.83161894079565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'e': 0.0, 'a': 0.0}",20,6,22.713369522129767,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'e': 0.0, 'a': 0.0}",30,14,35.04233046390843,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'e': 0.0, 'a': 0.0}",20,8,21.89573233937931,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'e': 0.0, 'a': 0.0}",30,19,19.60840238944213,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'e': 0.0, 'a': 0.0}",25,10,24.919193921947528,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'e': 0.0, 'a': 0.0}",25,15,18.780874996673692,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'e': 0.0, 'a': 0.0}",25,20,11.350713369295988,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'e': 0.0, 'a': 0.0}",25,15,17.28394775744496,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'e': 0.0, 'a': 0.0}",35,21,28.02717009090634,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
